gene	WT1	WT2	WT3	KO1	KO2	KO3
Lars2	275150	109800	366997	160936	8378	244249
mt-Rnr2	103582	142785	315976	112247	9000	142142
mt-Co1	418987	330488	275453	249174	386185	269390
mt-Co3	227801	127728	149540	90097	138830	103545
Krt13	77292	2606	446	1510	683	601
Krt1	221359	219202	149103	443095	529802	318513
Krt10	247956	223682	169814	313099	418406	239324
mt-Cytb	161327	105963	99398	82213	124505	78656
mt-Atp6	154139	91628	101730	81218	121908	70898
mt-Rnr1	33315	42751	94455	25207	5350	45643
Krt4	54759	1372	209	2257	1210	789
Lor	91558	39834	39013	32120	72230	30618
Atp2a1	110631	54021	64622	14450	35105	45071
mt-Co2	137633	90220	82115	80808	128765	69253
Acta1	100293	47645	57408	13997	28666	37641
Acta2	369	458	689	35666	37822	558
